property_id,locality_name,postal_code,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building,main_city,province
10903076,lier,2500,51.1398234,4.5657792,APARTMENT,PENTHOUSE,499000.0,BUY_REGULAR,,140.0,INSTALLED,1.0,,1,1.0,36.0,1.0,,,2.0,,,lier,antwerpen
11060126,elsene,1050,50.8174534,4.3771217,APARTMENT,APARTMENT,890000.0,BUY_REGULAR,10.0,218.0,INSTALLED,1.0,0.0,0,,,,,,2.0,0.0,AS_NEW,elsene,brussel
11157710,tessenderlo,3980,51.0671067,5.0973301,APARTMENT,DUPLEX,257000.0,BUY_REGULAR,,115.0,INSTALLED,1.0,,1,,,,,,2.0,,,tessenderlo,limburg
11128931,brugge,8000,51.2101322,3.2376424,APARTMENT,APARTMENT,289000.0,BUY_REGULAR,1.0,93.0,,,,0,1.0,,,,,,,GOOD,brugge,west-vlaanderen
10764989,gent,9000,51.0333059,3.7208224,APARTMENT,APARTMENT,345000.0,BUY_REGULAR,4.0,105.0,,,,0,1.0,10.0,,,,,,GOOD,gent,oost-vlaanderen
10870117,knokke,8300,51.341903,3.2855385,APARTMENT,APARTMENT,639000.0,BUY_REGULAR,1.0,92.0,,,,0,1.0,10.0,,,,2.0,,GOOD,knokke-heist,west-vlaanderen
11022509,marcinelle,6001,50.3932079,4.4482082,APARTMENT,APARTMENT,150000.0,BUY_REGULAR,,60.0,SEMI_EQUIPPED,1.0,,1,,,,,,,,JUST_RENOVATED,charleroi,henegouwen
10537165,elsene,1050,,,APARTMENT,APARTMENT,1390000.0,BUY_REGULAR,6.0,153.0,,,0.0,0,1.0,20.0,,,,3.0,0.0,AS_NEW,elsene,brussel
11051615,oedelem,8730,51.1680324,3.336583,APARTMENT,APARTMENT,370000.0,BUY_REGULAR,,120.0,INSTALLED,1.0,,1,1.0,,,,,2.0,,GOOD,beernem,west-vlaanderen
10928736,evere,1140,50.8614596,4.4192458,APARTMENT,FLAT_STUDIO,180000.0,BUY_REGULAR,,37.0,SEMI_EQUIPPED,1.0,,1,,,,,,2.0,,,evere,brussel
10725721,veurne,8630,51.0779942,2.6648971,APARTMENT,APARTMENT,325000.0,BUY_REGULAR,,131.0,INSTALLED,1.0,0.0,0,1.0,,,,,2.0,0.0,AS_NEW,veurne,west-vlaanderen
11120193,oud-turnhout (oud-turnhout),2360,51.3169596,4.9810767,APARTMENT,APARTMENT,169000.0,BUY_REGULAR,,81.0,,,0.0,0,1.0,,,,,3.0,0.0,,oud-turnhout,antwerpen
11161500,ranst,2520,51.1893641,4.5578694,APARTMENT,APARTMENT,250000.0,BUY_REGULAR,10.0,109.0,INSTALLED,1.0,,0,1.0,,,,,,,,ranst,antwerpen
10921847,leuven,3000,50.8558443,4.7765579,APARTMENT,APARTMENT,486480.0,BUY_REGULAR,,85.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,15.0,,,,4.0,1.0,AS_NEW,leuven,vlaams-brabant
11040610,de haan,8420,51.2770445,3.027819,APARTMENT,FLAT_STUDIO,245000.0,BUY_REGULAR,1.0,40.0,,,,0,,,,,,2.0,,GOOD,de haan,west-vlaanderen
11046533,liege,4020,50.6352805,5.6035814,APARTMENT,APARTMENT,155000.0,BUY_REGULAR,,80.0,INSTALLED,1.0,0.0,0,1.0,,,,,2.0,0.0,AS_NEW,liège,luik
11152547,erpe-mere,9420,50.9103669,3.922903,APARTMENT,APARTMENT,249000.0,BUY_REGULAR,,88.0,INSTALLED,1.0,,1,1.0,11.0,,,,2.0,,,erpe-mere,oost-vlaanderen
11149431,gent,9000,51.0553836,3.7361371,APARTMENT,APARTMENT,359000.0,BUY_REGULAR,1.0,84.0,,,,0,,,,,,3.0,,GOOD,gent,oost-vlaanderen
11070586,gent,9000,51.0386316,3.7260853,APARTMENT,PENTHOUSE,457500.0,BUY_REGULAR,1.0,93.0,,,,0,1.0,30.0,,,,,,GOOD,gent,oost-vlaanderen
10945496,antwerpen,2000,51.2083442,4.3896872,APARTMENT,APARTMENT,389000.0,BUY_REGULAR,,83.0,INSTALLED,1.0,0.0,0,1.0,,,,,2.0,0.0,GOOD,antwerpen,antwerpen
10910963,zwijndrecht,2070,51.21589,4.3288624,APARTMENT,APARTMENT,295000.0,BUY_REGULAR,7.0,95.0,,,,0,,,,,,,,,zwijndrecht,antwerpen
11083475,oostende,8400,51.2165325,2.9072313,APARTMENT,APARTMENT,189000.0,BUY_REGULAR,1.0,56.0,,,,0,1.0,,,,,,,GOOD,oostende,west-vlaanderen
11120249,oud-turnhout,2360,51.3170994,4.9812579,APARTMENT,APARTMENT,175000.0,BUY_REGULAR,,107.0,,,0.0,0,1.0,,,,,2.0,0.0,,oud-turnhout,antwerpen
10741760,brussel (1080),1080,50.8488675,4.3336189,APARTMENT,APARTMENT,495000.0,BUY_REGULAR,1.0,134.0,,,,0,,,,,,,,GOOD,sint-jans-molenbeek,brussel
11158580,elsene,1050,50.8185931,4.3838131,APARTMENT,APARTMENT,295000.0,BUY_REGULAR,,75.0,,,,1,,,,,,2.0,,TO_BE_DONE_UP,elsene,brussel
11100159,oostende,8400,51.2111343,2.9044096,APARTMENT,APARTMENT,179000.0,BUY_REGULAR,,80.0,INSTALLED,1.0,,0,1.0,,1.0,13.0,,2.0,,AS_NEW,oostende,west-vlaanderen
10907133,bierbeek,3360,50.8558443,4.7765579,APARTMENT,APARTMENT,412780.0,BUY_REGULAR,,68.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,12.0,,,,4.0,1.0,AS_NEW,bierbeek,vlaams-brabant
10949295,elsene,1050,50.8347176,4.3620329,APARTMENT,FLAT_STUDIO,312000.0,BUY_REGULAR,,38.0,USA_HYPER_EQUIPPED,1.0,0.0,0,1.0,3.0,,,,2.0,0.0,AS_NEW,elsene,brussel
11143849,sint-pieters-woluwe,1150,50.8358174,4.4133345,APARTMENT,APARTMENT,739000.0,BUY_REGULAR,,135.0,USA_HYPER_EQUIPPED,1.0,0.0,0,1.0,10.0,,,,2.0,1.0,AS_NEW,sint-pieters-woluwe,brussel
11158626,merelbeke,9820,,,APARTMENT,APARTMENT,295000.0,BUY_REGULAR,,61.0,INSTALLED,1.0,,0,,,,,,,,GOOD,merelbeke,oost-vlaanderen
10445905,evergem,9940,51.108683,3.7069314,APARTMENT,GROUND_FLOOR,310000.0,BUY_REGULAR,,87.0,HYPER_EQUIPPED,1.0,0.0,0,,,1.0,116.0,,2.0,0.0,GOOD,evergem,oost-vlaanderen
10209483,saint-ghislain,7333,50.4669358,3.8056615,APARTMENT,APARTMENT,230455.0,BUY_REGULAR,,97.0,NOT_INSTALLED,1.0,0.0,0,1.0,30.0,,,,,,AS_NEW,saint-ghislain,henegouwen
11153625,ninove,9400,50.8240436,4.0370481,APARTMENT,DUPLEX,195000.0,BUY_REGULAR,,150.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,2.0,,,,2.0,,TO_BE_DONE_UP,ninove,oost-vlaanderen
11142292,ganshoren,1083,50.8707681,4.3047212,APARTMENT,APARTMENT,225000.0,BUY_REGULAR,,75.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,3.0,,,,3.0,0.0,AS_NEW,ganshoren,brussel
11038981,elsene,1050,,,APARTMENT,APARTMENT,840000.0,BUY_REGULAR,,231.0,HYPER_EQUIPPED,1.0,,0,1.0,6.0,,,,2.0,0.0,AS_NEW,elsene,brussel
11142030,veurne,8630,51.0733332,2.6626589,APARTMENT,APARTMENT,275000.0,BUY_REGULAR,,102.0,INSTALLED,1.0,0.0,0,1.0,,,,,2.0,0.0,AS_NEW,veurne,west-vlaanderen
11153546,sint-jans-molenbeek,1080,50.8634847,4.3442581,APARTMENT,APARTMENT,215000.0,BUY_REGULAR,,230.0,NOT_INSTALLED,1.0,0.0,0,,,,,,3.0,0.0,TO_RENOVATE,sint-jans-molenbeek,brussel
10621066,knokke-heist,8300,51.3553389,3.3023824,APARTMENT,APARTMENT,1095000.0,BUY_REGULAR,1.0,103.0,,,,1,,,,,,2.0,,GOOD,knokke-heist,west-vlaanderen
11027486,knokke,8300,,,APARTMENT,APARTMENT,460000.0,BUY_REGULAR,,72.0,INSTALLED,1.0,,0,1.0,,,,,2.0,,GOOD,knokke-heist,west-vlaanderen
11150706,berchem,2600,51.2013567,4.4392604,APARTMENT,APARTMENT,225000.0,BUY_REGULAR,,92.0,INSTALLED,1.0,,0,1.0,4.0,,,,3.0,,GOOD,antwerpen,antwerpen
11135687,blankenberge,8370,51.3149284,3.127226,APARTMENT,APARTMENT,209000.0,BUY_REGULAR,3.0,81.0,,1.0,,0,1.0,,,,,,,GOOD,blankenberge,west-vlaanderen
11117862,gent,9000,51.0716154,3.6806262,APARTMENT,APARTMENT,232500.0,BUY_REGULAR,8.0,89.0,,,,0,,,,,,,,,gent,oost-vlaanderen
11037363,antwerpen,2020,51.1910663,4.3801555,APARTMENT,APARTMENT,175000.0,BUY_REGULAR,,80.0,INSTALLED,1.0,,0,,,,,,2.0,,GOOD,antwerpen,antwerpen
11134269,sint-idesbald,8670,51.1140598,2.6199222,APARTMENT,APARTMENT,845000.0,BUY_REGULAR,,100.0,HYPER_EQUIPPED,1.0,,0,,,,,,4.0,,AS_NEW,koksijde,west-vlaanderen
11143865,geraardsbergen,9500,50.7661849,3.8674387,APARTMENT,APARTMENT,280000.0,BUY_REGULAR,,90.0,USA_SEMI_EQUIPPED,1.0,,0,1.0,36.0,,,,,,,geraardsbergen,oost-vlaanderen
11146462,aywaille,4920,50.4759039,5.6682571,APARTMENT,APARTMENT,349000.0,BUY_REGULAR,,132.0,INSTALLED,1.0,0.0,0,1.0,41.0,,,,,0.0,GOOD,aywaille,luik
