property_id,locality_name,postal_code,street_name,house_number,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building
10545616,Knokke-Heist,8300,Lispannenlaan,33,51.3441391,3.278727,APARTMENT,APARTMENT,1795000,BUY_REGULAR,,125,USA_SEMI_EQUIPPED,1,,0,1,4,,,,3,0,AS_NEW
10906966,Bierbeek,3360,groot Park,21,50.8558443,4.7765579,APARTMENT,APARTMENT,604760,BUY_REGULAR,,106,HYPER_EQUIPPED,1,0,0,1,19,,,,4,1,AS_NEW
11074410,Evere,1140,Avenue Henry Dunant,25,50.8636779,4.4126659,APARTMENT,APARTMENT,279000,BUY_REGULAR,,100,HYPER_EQUIPPED,1,0,0,1,7,,,,2,0,TO_BE_DONE_UP
11146527,Deurne,2100,De Francqueslei,189,51.2279886,4.4498301,HOUSE,APARTMENT_BLOCK,995000,BUY_REGULAR,,315,,,,0,,,,,88,2,,TO_RENOVATE
11147273,Beernem,8730,Hubert D'ydewallestraat,108,51.1303706,3.3176378,APARTMENT,GROUND_FLOOR,339000,BUY_REGULAR,1,97,,,,0,1,23,1,130,,,,GOOD
11149361,Seraing,4100,Rue Hainchamps,72,50.6010798,5.5079399,HOUSE,HOUSE,179000,BUY_REGULAR,,95,INSTALLED,1,0,0,1,10,1,20,80,2,0,GOOD
11162528,Gent Mariakerke,9030,Brugsesteenweg,412,51.0694429,3.6836574,HOUSE,HOUSE,385000,BUY_REGULAR,,168,INSTALLED,1,0,0,1,73,1,136,254,2,0,GOOD
11153633,Estaimpuis,7730,,,,,HOUSE,VILLA,795000,BUY_REGULAR,,370,HYPER_EQUIPPED,1,0,0,1,,1,850,1438,4,0,AS_NEW
11134674,Antwerpen,2018,Lamorinièrestraat,61,51.2059868,4.4230469,APARTMENT,DUPLEX,295000,BUY_REGULAR,,101,,1,,0,1,10,,,,2,0,TO_BE_DONE_UP
11158614,Waver,1300,,,,,APARTMENT,FLAT_STUDIO,549000,BUY_REGULAR,,,,,,1,,,,,,,,
